"codigo","producto","categoria","imagen","Costo proveedor","Venta publico","Items","stock minimo"
"7501111000018","Cereal de maiz 500g","Abarrotes","/productos/genericos/018-cereal-maiz-500g.webp","35.00","48.00","24","5"
"7501111000019","Galletas vainilla 150g","Abarrotes","/productos/genericos/019-galletas-vainilla-150g.webp","14.00","22.00","24","5"
"7501111000020","Galletas saladas 150g","Abarrotes","/productos/genericos/020-galletas-saladas-150g.webp","13.00","20.00","24","5"
"7501111000021","Tortillas de maiz 1kg","Panaderia","/productos/genericos/021-tortillas-maiz-1kg.webp","18.00","26.00","24","5"
"7501111000022","Tortillas de harina 20pz","Panaderia","/productos/genericos/022-tortillas-harina-20pz.webp","22.00","32.00","24","5"
"7501111000023","Pan blanco 680g","Panaderia","/productos/genericos/023-pan-blanco-680g.webp","32.00","42.00","24","5"
"7501111000024","Pan integral 680g","Panaderia","/productos/genericos/024-pan-integral-680g.webp","36.00","48.00","24","5"
"7501111000025","Bolillo 6pz","Panaderia","/productos/genericos/025-bolillo-6pz.webp","12.00","18.00","24","5"
"7501111000026","Pan dulce 4pz","Panaderia","/productos/genericos/026-pan-dulce-4pz.webp","14.00","22.00","24","5"
"7501111000027","Tostadas de maiz 200g","Panaderia","/productos/genericos/027-tostadas-maiz-200g.webp","16.00","24.00","24","5"
"7501111000028","Leche entera 1L","Lacteos","/productos/genericos/028-leche-entera-1l.webp","20.00","28.00","24","5"
"7501111000029","Leche deslactosada 1L","Lacteos","/productos/genericos/029-leche-deslactosada-1l.webp","22.00","32.00","24","5"
"7501111000030","Yogurt natural 1L","Lacteos","/productos/genericos/030-yogurt-natural-1l.webp","28.00","40.00","24","5"
"7501111000031","Queso fresco 400g","Lacteos","/productos/genericos/031-queso-fresco-400g.webp","42.00","58.00","24","5"
"7501111000032","Crema 450ml","Lacteos","/productos/genericos/032-crema-450ml.webp","24.00","34.00","24","5"
"7501111000033","Mantequilla 90g","Lacteos","/productos/genericos/033-mantequilla-90g.webp","18.00","26.00","24","5"
"7501111000034","Huevo 12pz","Abarrotes","/productos/genericos/034-huevo-12pz.webp","48.00","62.00","24","5"
"7501111000035","Jamon 250g","Refrigerados","/productos/genericos/035-jamon-250g.webp","38.00","52.00","24","5"
"7501111000036","Salchicha 500g","Refrigerados","/productos/genericos/036-salchicha-500g.webp","32.00","46.00","24","5"
"7501111000037","Pollo empaquetado 1kg","Refrigerados","/productos/genericos/037-pollo-empaquetado-1kg.webp","68.00","92.00","24","5"
"7501111000038","Carne molida 500g","Refrigerados","/productos/genericos/038-carne-molida-500g.webp","62.00","85.00","24","5"
"7501111000039","Atun en agua 140g","Enlatados","/productos/genericos/039-atun-en-agua-140g.webp","16.00","24.00","24","5"
"7501111000040","Sardina tomate 155g","Enlatados","/productos/genericos/040-sardina-tomate-155g.webp","14.00","22.00","24","5"
"7501111000041","Mayonesa 390g","Condimentos","/productos/genericos/041-mayonesa-390g.webp","28.00","40.00","24","5"
"7501111000042","Catsup 370g","Condimentos","/productos/genericos/042-catsup-370g.webp","18.00","28.00","24","5"
"7501111000043","Mostaza 250g","Condimentos","/productos/genericos/043-mostaza-250g.webp","16.00","24.00","24","5"
"7501111000044","Salsa picante 150ml","Condimentos","/productos/genericos/044-salsa-picante-150ml.webp","12.00","18.00","24","5"
"7501111000045","Chile en lata 220g","Enlatados","/productos/genericos/045-chile-en-lata-220g.webp","14.00","22.00","24","5"
"7501111000046","Elote en lata 220g","Enlatados","/productos/genericos/046-elote-en-lata-220g.webp","12.00","18.00","24","5"
"7501111000047","Verduras mixtas 220g","Enlatados","/productos/genericos/047-verduras-mixtas-220g.webp","13.00","20.00","24","5"
"7501111000048","Pure de tomate 210g","Enlatados","/productos/genericos/048-pure-tomate-210g.webp","10.00","16.00","24","5"
"7501111000049","Caldo en polvo 100g","Condimentos","/productos/genericos/049-caldo-polvo-100g.webp","14.00","22.00","24","5"
"7501111000050","Agua natural 1L","Bebidas","/productos/genericos/050-agua-natural-1l.webp","8.00","12.00","24","5"
"7501111000051","Agua mineral 600ml","Bebidas","/productos/genericos/051-agua-mineral-600ml.webp","9.00","14.00","24","5"
"7501111000052","Refresco cola 600ml","Bebidas","/productos/genericos/052-refresco-cola-600ml.webp","11.00","17.00","24","5"
"7501111000053","Bebida naranja 600ml","Bebidas","/productos/genericos/053-bebida-naranja-600ml.webp","10.00","16.00","24","5"
"7501111000054","Bebida limon 600ml","Bebidas","/productos/genericos/054-bebida-limon-600ml.webp","10.00","16.00","24","5"
"7501111000055","Jugo manzana 1L","Bebidas","/productos/genericos/055-jugo-manzana-1l.webp","18.00","28.00","24","5"
"7501111000056","Nectar mango 1L","Bebidas","/productos/genericos/056-nectar-mango-1l.webp","18.00","28.00","24","5"
"7501111000057","Te frio 600ml","Bebidas","/productos/genericos/057-te-frio-600ml.webp","12.00","18.00","24","5"
"7501111000058","Bebida energetica 355ml","Bebidas","/productos/genericos/058-bebida-energetica-355ml.webp","16.00","24.00","24","5"
"7501111000059","Suero oral 625ml","Bebidas","/productos/genericos/059-suero-oral-625ml.webp","14.00","20.00","24","5"
"7501111000060","Papas sal 45g","Botanas","/productos/genericos/060-papas-sal-45g.webp","12.00","18.00","24","5"
"7501111000061","Papas limon 45g","Botanas","/productos/genericos/061-papas-limon-45g.webp","12.00","18.00","24","5"
"7501111000062","Chicharron 60g","Botanas","/productos/genericos/062-chicharron-60g.webp","14.00","22.00","24","5"
"7501111000063","Cacahuates salados 100g","Botanas","/productos/genericos/063-cacahuates-salados-100g.webp","16.00","24.00","24","5"
"7501111000064","Palomitas maiz 90g","Botanas","/productos/genericos/064-palomitas-maiz-90g.webp","12.00","18.00","24","5"
"7501111000065","Dulce gomita 100g","Dulces","/productos/genericos/065-dulce-gomita-100g.webp","14.00","22.00","24","5"
"7501111000066","Chocolate barra 45g","Dulces","/productos/genericos/066-chocolate-barra-45g.webp","12.00","18.00","24","5"
"7501111000067","Caramelo 100g","Dulces","/productos/genericos/067-caramelo-100g.webp","10.00","16.00","24","5"
"7501111000068","Paleta 20g","Dulces","/productos/genericos/068-paleta-20g.webp","4.00","8.00","24","5"
"7501111000069","Galleta chocolate 120g","Dulces","/productos/genericos/069-galleta-chocolate-120g.webp","16.00","24.00","24","5"
"7501111000070","Detergente polvo 1kg","Limpieza","/productos/genericos/070-detergente-polvo-1kg.webp","35.00","48.00","24","5"
"7501111000071","Jabon lavanderia 400g","Limpieza","/productos/genericos/071-jabon-lavanderia-400g.webp","16.00","24.00","24","5"
"7501111000072","Cloro 1L","Limpieza","/productos/genericos/072-cloro-1l.webp","14.00","22.00","24","5"
"7501111000073","Limpiador piso 1L","Limpieza","/productos/genericos/073-limpiador-piso-1l.webp","18.00","28.00","24","5"
"7501111000074","Suavizante 850ml","Limpieza","/productos/genericos/074-suavizante-850ml.webp","28.00","40.00","24","5"
"7501111000075","Fibra esponja 2pz","Limpieza","/productos/genericos/075-fibra-esponja-2pz.webp","8.00","14.00","24","5"
"7501111000076","Servilletas 250pz","Hogar","/productos/genericos/076-servilletas-250pz.webp","18.00","28.00","24","5"
"7501111000077","Papel higienico 4pz","Hogar","/productos/genericos/077-papel-higienico-4pz.webp","32.00","45.00","24","5"
"7501111000078","Toalla cocina 2pz","Hogar","/productos/genericos/078-toalla-cocina-2pz.webp","28.00","40.00","24","5"
"7501111000079","Bolsa basura 10pz","Hogar","/productos/genericos/079-bolsa-basura-10pz.webp","16.00","24.00","24","5"
"7501111000080","Shampoo 750ml","Higiene","/productos/genericos/080-shampoo-750ml.webp","38.00","55.00","24","5"
"7501111000081","Jabon corporal 120g","Higiene","/productos/genericos/081-jabon-corporal-120g.webp","12.00","18.00","24","5"
"7501111000082","Pasta dental 100ml","Higiene","/productos/genericos/082-pasta-dental-100ml.webp","22.00","32.00","24","5"
"7501111000083","Cepillo dental 1pz","Higiene","/productos/genericos/083-cepillo-dental-1pz.webp","10.00","16.00","24","5"
"7501111000084","Desodorante 90g","Higiene","/productos/genericos/084-desodorante-90g.webp","32.00","46.00","24","5"
"7501111000085","Panales 20pz","Bebe","/productos/genericos/085-panales-20pz.webp","85.00","115.00","24","5"
"7501111000086","Toallitas humedas 80pz","Bebe","/productos/genericos/086-toallitas-humedas-80pz.webp","32.00","45.00","24","5"
"7501111000087","Alimento perro 2kg","Mascotas","/productos/genericos/087-alimento-perro-2kg.webp","68.00","95.00","24","5"
"7501111000088","Alimento gato 1kg","Mascotas","/productos/genericos/088-alimento-gato-1kg.webp","48.00","68.00","24","5"
"7501111000089","Arena gato 3kg","Mascotas","/productos/genericos/089-arena-gato-3kg.webp","42.00","60.00","24","5"
"7501111000090","Manzana 1kg","Frutas y verduras","/productos/genericos/090-manzana-1kg.webp","38.00","52.00","12","5"
"7501111000091","Platano 1kg","Frutas y verduras","/productos/genericos/091-platano-1kg.webp","18.00","26.00","12","5"
"7501111000092","Tomate 1kg","Frutas y verduras","/productos/genericos/092-tomate-1kg.webp","22.00","32.00","12","5"
"7501111000093","Cebolla 1kg","Frutas y verduras","/productos/genericos/093-cebolla-1kg.webp","16.00","24.00","12","5"
"7501111000094","Papa 1kg","Frutas y verduras","/productos/genericos/094-papa-1kg.webp","18.00","26.00","12","5"
"7501111000095","Zanahoria 1kg","Frutas y verduras","/productos/genericos/095-zanahoria-1kg.webp","14.00","22.00","12","5"
"7501111000096","Limon 1kg","Frutas y verduras","/productos/genericos/096-limon-1kg.webp","22.00","32.00","12","5"
"7501111000097","Aguacate 1kg","Frutas y verduras","/productos/genericos/097-aguacate-1kg.webp","55.00","78.00","12","5"
"7501111000098","Helado vainilla 1L","Congelados","/productos/genericos/098-helado-vainilla-1l.webp","48.00","68.00","24","5"
"7501111000099","Verdura congelada 500g","Congelados","/productos/genericos/099-verdura-congelada-500g.webp","28.00","40.00","24","5"
"7501111000100","Hielo 5kg","Congelados","/productos/genericos/100-hielo-5kg.webp","18.00","28.00","24","5"
